,count,mean,std,min,25%,50%,75%,max
log_return,6790.0,0.00032184145868779804,0.012191143224262358,-0.11588651024969697,-0.0047704862275295395,0.0006926402928763462,0.006077050532647357,0.13557734227999726
simple_return,6790.0,0.0003961701377155033,0.012187323096650781,-0.10942371115694105,-0.0047591254586562826,0.0006928802235608433,0.006095553265964615,0.14519776461549894
historical_volatility_5,6786.0,0.1556724571868047,0.12146987636767058,0.006753276549459331,0.08111552123889587,0.1270641349659568,0.19327235568556145,1.4616405963305865
historical_volatility_10,6781.0,0.16107081508265847,0.11177794659747786,0.020059424917595988,0.09119996825773515,0.13542927265628676,0.19621924101765684,1.13063279150853
historical_volatility_21,6770.0,0.1642842319357609,0.10468101753991929,0.034157344212166645,0.09851369188638562,0.13988399951236866,0.19957530602293835,0.9366831176285282
historical_volatility_63,6728.0,0.1695852114053404,0.0947237993249965,0.05138715090384082,0.11099985312954493,0.14209038464515533,0.20369801165360701,0.739068149982698
sma_5,6787.0,191.18144131850576,150.65487237606195,50.71343002319336,83.34486846923828,108.96521911621093,254.35982513427734,685.061376953125
sma_10,6782.0,191.04172219242963,150.3820391907144,51.96875,83.27776679992675,108.8055576324463,253.8431350708008,679.8619018554688
sma_21,6771.0,190.73891193287864,149.79499564742503,54.025624048142205,83.26428458804176,108.79638163248698,254.08961196172805,678.9093627929688
sma_50,6742.0,189.94711779012485,148.26294634832675,55.46266540527344,83.15829658508301,107.79134384155273,253.31233123779296,673.2453369140625
ema_10,6782.0,191.042739890821,150.37126123677143,52.38528547160408,83.25157021168923,108.71867039164283,253.62804077610565,681.4674292017913
ema_21,6771.0,190.74110678722923,149.77145255002753,54.14589024510103,83.2470696701958,108.39387241812568,254.011954506695,678.2484977846018
ema_50,6742.0,189.95911164370378,148.22603155071326,55.61550233859686,83.07903274879567,107.39005522877733,254.45984204359843,671.8583119850487
rsi_14,6777.0,54.62001798107375,11.334294237371507,16.80279711700085,46.42625743044461,55.64572248352115,63.20276931060162,87.19159690854798
atr_14,6778.0,2.9865801471959834,2.2499264393852103,0.9239042948015115,1.5117990247655482,2.135693324862034,3.6636747851985945,20.34324893948199
log_volume,6791.0,18.042188353597865,0.9924027645765795,14.177789768622839,17.67790309332478,18.142395714004447,18.669938722187837,20.585182729538868
volume_change,6790.0,0.0586125192609437,0.37960663546123874,-0.8279437952237562,-0.18995590899670095,-0.0056284403202301325,0.23161888968639222,4.642517574226397
